activity_code,fund_scheme_code,fund_component_code,fund_tied_general,fund_tied_sc,fund_tied_st,fund_untied_general,fund_untied_sc,fund_untied_st,fund_amount_total,fund_tied_abandoned_general,fund_tied_abandoned_sc,fund_tied_abandoned_st,fund_untied_abandoned_general,fund_untied_abandoned_sc,fund_untied_abandoned_st,fund_overflow_json
82945063,,,,,,,,,,,,,,,,
82945970,,,,,,,,,,,,,,,,
82946815,,,,,,,,,,,,,,,,
82982893,,,,,,,,,,,,,,,,
82983432,,,,,,,,,,,,,,,,
82983733,,,,,,,,,,,,,,,,
82984241,,,,,,,,,,,,,,,,
82984672,,,,,,,,,,,,,,,,
82985079,,,,,,,,,,,,,,,,
82985316,,,,,,,,,,,,,,,,
82985539,,,,,,,,,,,,,,,,
82985722,,,,,,,,,,,,,,,,
82986093,,,,,,,,,,,,,,,,
82986382,,,,,,,,,,,,,,,,
82986750,,,,,,,,,,,,,,,,
82986939,,,,,,,,,,,,,,,,
82987332,,,,,,,,,,,,,,,,
82987675,,,,,,,,,,,,,,,,
82987958,,,,,,,,,,,,,,,,
82988419,,,,,,,,,,,,,,,,
82988992,,,,,,,,,,,,,,,,
82989290,,,,,,,,,,,,,,,,
82989521,,,,,,,,,,,,,,,,
82989751,,,,,,,,,,,,,,,,
82990009,,,,,,,,,,,,,,,,
82990222,,,,,,,,,,,,,,,,
82990481,,,,,,,,,,,,,,,,
82990654,,,,,,,,,,,,,,,,
82990852,,,,,,,,,,,,,,,,
82991236,,,,,,,,,,,,,,,,
82991513,,,,,,,,,,,,,,,,
82991789,,,,,,,,,,,,,,,,
82992060,,,,,,,,,,,,,,,,
82992953,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82993239,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82993426,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82993614,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82993839,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82994077,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82994323,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82994539,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82994805,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82995059,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82995419,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82995784,,,,,,,,,,,,,,,,
82996333,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
126998057,,,,,,,,,,,,,,,,
127969368,1769.0,4211.0,0.0,0.0,0.0,35000.0,0.0,0.0,35000.0,,,,,,,
127969495,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,,,,,,,
