activity_code,is_delegated,delegated_unit_code,delegated_unit_type,delegated_unit_level,delegated_unit_category,is_shareable,delegated_parent_unit_code
77267031,,,,,,False,
77275560,,,,,,False,
77276752,,,,,,False,
77278142,,,,,,False,
77278423,,,,,,False,
77279910,,,,,,False,
77280263,,,,,,False,
77280739,,,,,,False,
78491116,,,,,,False,
78491476,,,,,,False,
78491998,,,,,,False,
78492333,,,,,,False,
78492814,,,,,,False,
78493897,,,,,,False,
78494126,,,,,,False,
78494502,,,,,,False,
78495236,,,,,,False,
78495596,,,,,,False,
78496071,,,,,,False,
78496458,,,,,,False,
78496705,,,,,,False,
78497072,,,,,,False,
78497365,,,,,,False,
78497945,,,,,,False,
78498113,,,,,,False,
78498439,,,,,,False,
78498722,,,,,,False,
78499068,,,,,,False,
78499277,,,,,,False,
78499712,,,,,,False,
78500014,,,,,,False,
78500161,,,,,,False,
78500556,,,,,,False,
80029130,,,,,,False,
80029215,,,,,,False,
80029295,,,,,,False,
80029373,,,,,,False,
80029450,,,,,,False,
80029521,,,,,,False,
80029599,,,,,,False,
80029705,,,,,,False,
80029763,,,,,,False,
80029851,,,,,,False,
80031828,,,,,,False,
80032043,,,,,,False,
80032155,,,,,,False,
80032278,,,,,,False,
80032460,,,,,,False,
80032683,,,,,,False,
80032770,,,,,,False,
80032875,,,,,,False,
80032978,,,,,,False,
80033118,,,,,,False,
80033273,,,,,,False,
80033382,,,,,,False,
80033493,,,,,,False,
80033581,,,,,,False,
80033964,,,,,,False,
80034110,,,,,,False,
80034230,,,,,,False,
80034351,,,,,,False,
80034472,,,,,,False,
80034601,,,,,,False,
80034782,,,,,,False,
80034899,,,,,,False,
80035027,,,,,,False,
80035169,,,,,,False,
80035309,,,,,,False,
80035573,,,,,,False,
80035696,,,,,,False,
80036583,,,,,,False,
80036725,,,,,,False,
80036858,,,,,,False,
80037138,,,,,,False,
80037280,,,,,,False,
80037394,,,,,,False,
80037562,,,,,,False,
80037707,,,,,,False,
80037816,,,,,,False,
80037937,,,,,,False,
80038053,,,,,,False,
80038175,,,,,,False,
80038292,,,,,,False,
80038923,,,,,,False,
80039042,,,,,,False,
80039247,,,,,,False,
80039350,,,,,,False,
80039631,,,,,,False,
80039796,,,,,,False,
80040296,,,,,,False,
80040602,,,,,,False,
80040857,,,,,,False,
80041149,,,,,,False,
80041298,,,,,,False,
80041520,,,,,,False,
80041773,,,,,,False,
80041901,,,,,,False,
80042050,,,,,,False,
80042363,,,,,,False,
80042571,,,,,,False,
80042777,,,,,,False,
80043019,,,,,,False,
80043322,,,,,,False,
80043486,,,,,,False,
80043848,,,,,,False,
80044000,,,,,,False,
80044147,,,,,,False,
80044297,,,,,,False,
82332452,,,,,,False,
82422062,,,,,,False,
82422723,,,,,,False,
82423431,,,,,,False,
82426542,,,,,,False,
82634808,,,,,,False,
82635873,,,,,,False,
82635957,,,,,,False,
82636079,,,,,,False,
82636157,,,,,,False,
82636304,,,,,,False,
82636440,,,,,,False,
82637087,,,,,,False,
82637301,,,,,,False,
82637472,,,,,,False,
82638384,,,,,,False,
82659842,,,,,,False,
82660108,,,,,,False,
82660418,,,,,,False,
82660853,,,,,,False,
82661167,,,,,,False,
82661663,,,,,,False,
