activity_code,community_service_raw,community_service_code,community_service_duration,community_beneficiaries_expected
116922858,,,,
116973201,,,,
116973702,,,,
116973989,,,,
116974335,,,,
116974779,,658.0,6.0,100.0
116975128,,,,
116975395,,657.0,6.0,100.0
116980390,,,,
116980692,,,,
116981571,,,,
116982023,,,,
116982394,,,,
117125580,,,,
117126127,,,,
117126559,,,,
117126870,,,,
117127207,,,,
117127677,,,,
117128073,,,,
117128407,,,,
117128867,,,,
117129475,,,,
117130602,,,,
117130968,,,,
117131364,,,,
117131788,,,,
117132190,,,,
117133187,,,,
119427253,,,,
119427500,,,,
119428034,,,,
119428261,,,,
119428422,,,,
119428555,,,,
119428751,,,,
119430070,,,,
119430226,,,,
119430429,,,,
119430596,,,,
119431087,,,,
119431357,,,,
119431578,,,,
119431935,,,,
119527049,,,,
119565211,,,,
119565589,,,,
119565835,,,,
119566407,,,,
119566702,,,,
119566989,,,,
119567296,,,,
119567649,,,,
119568153,,,,
119568421,,,,
119568641,,,,
119570903,,,,
119571102,,,,
119571352,,,,
119571555,,,,
119571868,,,,
119572092,,,,
119572398,,,,
119572873,,,,
119573076,,,,
119573253,,,,
119573406,,,,
119573536,,,,
119573682,,,,
119578130,,,,
119578492,,,,
119742472,,,,
119743447,,,,
119743968,,,,
119745118,,,,
119746275,,,,
119747130,,657.0,6.0,300.0
120373949,,,,
120374266,,,,
120758027,,,,
120758360,,,,
120759042,,,,
120759387,,,,
120759756,,,,
120760027,,,,
120760305,,,,
120760735,,,,
120761182,,,,
120762158,,,,
120850730,,657.0,6.0,100.0
120851347,,657.0,6.0,100.0
120851687,,,,
120852202,,657.0,6.0,100.0
120853415,,,,
120853731,,,,
120854315,,,,
120854906,,,,
120855448,,,,
120856012,,,,
120856440,,,,
120856795,,,,
120856953,,,,
120857532,,657.0,6.0,100.0
120857775,,657.0,6.0,100.0
120858413,,657.0,6.0,100.0
120858649,,,,
120858885,,657.0,6.0,100.0
120893694,,658.0,6.0,100.0
120893926,,658.0,6.0,100.0
120894078,,658.0,6.0,34.0
120894258,,658.0,6.0,100.0
120894430,,657.0,6.0,45.0
122049135,,,,
122049920,,,,
122050427,,,,
122050820,,,,
122051215,,,,
